CHS,CLT,17542
ORD,SNA,17538
MDW,LAX,17531
MSP,BOS,17523
BWI,PVD,17483
JFK,PBI,17462
OAK,PDX,17435
DAL,STL,17416
DCA,DTW,17409
SLC,SAN,17403
IAD,ORD,17401
ORD,IAD,17397
STL,PHX,17393
SLC,OAK,17372
DTW,SLC,17342
LAX,BNA,17330
LIH,LAX,17323
DCA,DEN,17310
BWI,PHX,17306
IAH,DTW,17270
BOS,IAD,17258
DEN,DCA,17255
JFK,BUF,17253
DEN,BWI,17194
SEA,OGG,17187
DEN,IND,17179
IAH,TPA,17160
PDX,OAK,17160
MCO,BDL,17144
CLT,BDL,17135
IAD,MCO,17119
BDL,MCO,17079
SJC,DFW,17065
GEG,DEN,17038
DEN,GEG,17037
PHL,IAH,16996
MSY,DAL,16969
PHX,STL,16968
CLT,CHS,16961
FLL,SFO,16957
PHX,MCI,16951
LGA,MDW,16946
OAK,SLC,16902
MIA,LAS,16894
PDX,SLC,16878
IND,DEN,16849
ORD,PIT,16847
GSP,ATL,16782
DFW,IAD,16780
HOU,DEN,16768
PHX,ELP,16739
DEN,HOU,16670
IAH,BOS,16669
SMF,PDX,16668
PBI,JFK,16657
LAX,LIH,16607
EWR,SEA,16534
BOS,IAH,16534
DAL,MSY,16534
IAD,DFW,16528
PHX,TUS,16517
MDW,LGA,16496
DFW,RDU,16486
RDU,DFW,16475
DEN,TPA,16468
ORD,CMH,16447
SFO,AUS,16427
OMA,DFW,16409
LAX,MDW,16351
SAN,PDX,16320
GSO,CLT,16302
PDX,SMF,16283
SLC,SFO,16283
ATL,GSO,16273
LGA,RDU,16248
ORF,CLT,16217
PHX,BWI,16211
IND,CLT,16163
BNA,LAX,16148
MDW,MCI,16141
LAS,HOU,16137
CLT,ORF,16090
MCI,MDW,16083
BOS,DTW,16030
HOU,LAX,16021
DEN,ABQ,16017
RNO,PHX,15985
BUF,JFK,15972
MIA,SFO,15965
BWI,RSW,15931
OKC,ATL,15898
IND,DFW,15875
PHL,LGA,15872
SFO,FLL,15856
MSP,STL,15853
HOU,LAS,15846
DFW,IND,15836
BOI,DEN,15832
IAD,BOS,15794
DFW,SMF,15779
PHX,SAT,15779
MIA,DTW,15739
ATL,OKC,15720
LAS,ONT,15713
ONT,SMF,15709
BUR,SJC,15707
BDL,BWI,15652
GSO,ATL,15626
ATL,CAK,15622
SLC,IAH,15622
DEN,BOI,15620
AUS,SFO,15610
PHL,PIT,15608
ATL,GSP,15601
IAH,SLC,15599
CLT,GSO,15596
BWI,MHT,15579
AUS,LAX,15567
LAX,AUS,15563
MCI,ORD,15554
LAX,HOU,15518
LAX,TUS,15498
DEN,SJC,15466
PDX,SAN,15413
BOS,PBI,15401
SAN,SLC,15357
DFW,ONT,15347
ATL,LIT,15344
CMH,ORD,15322
PVD,CLT,15315
SAT,PHX,15301
PBI,BOS,15273
SMF,ONT,15265
SLC,ORD,15255
SFO,SLC,15255
DFW,OMA,15227
MDW,STL,15198
RDU,LGA,15188
ABQ,DEN,15168
SFO,MIA,15139
BOI,SEA,15124
ORD,SLC,15092
SLC,LGB,15053
TUS,PHX,15026
OMA,ATL,15020
ATL,DAB,14986
BUR,SMF,14950
STL,LGA,14932
SMF,BUR,14925
STL,MDW,14918
ATL,OMA,14916
SFO,PSP,14886
CLT,PVD,14882
BOS,PHX,14860
RSW,EWR,14852
CMH,CLT,14841
DAB,ATL,14820
LGA,STL,14819
CLT,MEM,14790
ONT,DFW,14787
SJC,BUR,14751
EWR,RSW,14741
KOA,LAX,14727
STL,MSP,14716
ONT,LAS,14699
PHX,RNO,14697
CLT,CMH,14686
ATL,CLE,14685
LIT,ATL,14685
CLT,IND,14679
DTW,MDW,14648
MEM,CLT,14648
LGA,PHL,14642
SNA,ATL,14601
PSP,SFO,14599
BUF,ATL,14588
MCO,HOU,14580
OMA,PHX,14574
TPA,PHX,14558
SMF,DFW,14556
DTW,BNA,14546
TYS,ATL,14523
BUF,MCO,14499
FAI,ANC,14469
SFO,DTW,14450
SNA,IAH,14400
LGA,BNA,14355
IAH,SNA,14340
SJC,DEN,14330
LGB,SLC,14306
DTW,MIA,14266
TUS,LAX,14227
LAX,KOA,14220
CLT,ILM,14161
BWI,RDU,14144
PHX,BOS,14144
RSW,BWI,14134
AUS,LAS,14059
CLE,ATL,14043
IAH,CLE,14043
DTW,SFO,14029
PHL,RSW,14025
PHX,TPA,13990
BNA,DTW,13983
SEA,BOI,13973
MSP,MCI,13956
RNO,LAX,13951
MKE,PHX,13941
RSW,DFW,13937
ORD,CVG,13937
PIT,PHL,13935
LIT,DFW,13909
DFW,LIT,13883
BWI,BDL,13881
FAR,MSP,13865
ATL,SNA,13861
BUF,BWI,13827
JAX,DFW,13824
MIA,MSY,13815
RDU,BWI,13798
PHL,PBI,13730
DEN,MIA,13682
MCI,MSP,13663
MCO,BUF,13663
BWI,BNA,13652
ILM,CLT,13625
MSY,LAX,13611
LAX,MSY,13592
PHL,RDU,13583
HOU,MDW,13581
FLL,MSP,13570
ORD,DSM,13570
PBI,PHL,13550
CLE,MDW,13549
RSW,PHL,13546
MIA,MSP,13533
CLT,SAV,13516
ATL,JAN,13473
ISP,BWI,13447
ATL,BUF,13427
LAS,AUS,13426
MIA,DEN,13422
LGB,LAS,13418
MDW,DTW,13404
CLE,IAH,13389
JFK,SAN,13387
MDW,HOU,13339
SAV,CLT,13322
PIT,MCO,13321
FLL,ACY,13309
BNA,LGA,13305
MCO,PIT,13257
MKE,ORD,13238
BNA,MDW,13233
JFK,ORD,13229
ATL,TYS,13166
MKE,DTW,13148
FLL,PHX,13139
CLT,CVG,13118
MDW,BNA,13108
LAX,RNO,13071
DEN,TUS,13071
MDW,RSW,13065
SAN,CLT,13055
JAN,ATL,13040
EYW,ATL,13037
PHX,OMA,13010
MLB,ATL,12965
BOS,RDU,12953
CVG,ORD,12939
ORD,BNA,12928
ACY,FLL,12918
EWR,MDW,12914
PHX,MKE,12913
MSP,FAR,12911
CVG,CLT,12905
SAN,JFK,12888
BNA,BWI,12888
MCI,LAS,12880
LAS,LGB,12873
BWI,ISP,12861
DCA,PHX,12854
BLI,LAS,12832
CLT,STL,12829
ORD,JFK,12827
MIA,IAD,12795
PHL,MDW,12779
LAS,BLI,12747
ABQ,DAL,12737
HPN,PBI,12737
MFE,DFW,12736
ORD,BDL,12729
PHX,FLL,12696
BWI,BUF,12686
LAX,STL,12683
MSP,IAH,12677
RSW,MDW,12652
PHX,HOU,12652
RDU,BOS,12651
DEN,SAT,12639
STL,CLT,12621
ATL,TLH,12619
IAH,MSP,12618
MSP,FLL,12607
DFW,MFE,12601
MSP,SAN,12596
HSV,ATL,12582
RDU,PHL,12581
SEA,DTW,12579
SEA,BOS,12562
HOU,MCO,12525
PHX,DCA,12515
MCO,STL,12510
MDW,CLE,12510
IND,PHX,12496
ORD,OMA,12490
ORD,RDU,12459
FLL,MDW,12440
MDW,FLL,12424
GEG,PDX,12399
TUS,DEN,12389
ATL,HSV,12347
DSM,DEN,12329
MKE,MCO,12296
MSP,PDX,12287
BUF,CLT,12281
STL,LAX,12274
DSM,ORD,12261
HNL,DFW,12245
DAL,ABQ,12233
ATL,MLB,12221
COS,DFW,12218
BDL,ORD,12211
HOU,PHX,12204
LAS,TUS,12200
TLH,ATL,12198
HNL,PDX,12189
DFW,HNL,12182
DTW,STL,12171
RDU,ORD,12167
BNA,ORD,12161
IAH,OKC,12160
DTW,MKE,12151
DFW,JAX,12143
BOS,SEA,12129
GRR,ORD,12121
LAS,MCI,12100
BWI,MDW,12092
MDW,TPA,12083
DFW,RSW,12082
JFK,RDU,12050
HNL,SAN,12001
SAT,HOU,11982
STL,MCO,11981
CLT,BUF,11973
DEN,OAK,11971
MCO,MKE,11956
IAD,MIA,11941
DFW,PSP,11939
IAH,IAD,11938
CLT,SDF,11915
ALB,BWI,11900
EWR,DTW,11896
PHX,IND,11882
TPA,IAD,11878
SAN,HNL,11877
RDU,JFK,11859
PIT,DFW,11856
MCI,CLT,11852
PDX,GEG,11849
JFK,AUS,11849
MDW,BWI,11835
STL,LAS,11833
SLC,SNA,11822
MCO,BNA,11811
OGG,SFO,11798
LGB,SFO,11771
PBI,HPN,11767
DFW,COS,11739
ORD,AUS,11723
DTW,SEA,11721
CMH,DFW,11715
TPA,MDW,11686
CLT,MCI,11682
ATL,CAE,11680
SNA,SLC,11665
BDL,FLL,11661
PDX,HNL,11658
TPA,BOS,11654
ATL,EYW,11652
PDX,MSP,11650
SAN,IAD,11649
DEN,CLE,11640
SAT,LAS,11630
BOS,TPA,11612
OMA,ORD,11604
SAN,MSP,11601
STL,DTW,11555
BDL,TPA,11546
XNA,DFW,11534
MEM,DFW,11523
ORD,MSY,11502
DFW,XNA,11488
LAS,STL,11456
TUS,LAS,11453
MCO,RDU,11447
PSP,DFW,11445
MDW,PHL,11401
CLT,SAN,11372
MDW,EWR,11371
DFW,PIT,11371
EWR,CLE,11366
MSP,MIA,11320
OKC,IAH,11302
AUS,ORD,11299
ORD,GRR,11255
IAD,IAH,11246
DFW,CMH,11235
ATL,LEX,11232
SFO,OGG,11218
LEX,ATL,11216
DTW,EWR,11211
MIA,BWI,11208
ICT,DFW,11200
DEN,TUL,11144
CLE,DEN,11126
BOI,SLC,11122
PBI,DFW,11109
FLL,BDL,11097
BWI,SLC,11094
RNO,DEN,11094
GRR,MSP,11091
BZN,DEN,11080
MCO,IND,11076
DFW,ICT,11066
CAE,ATL,11060
MIA,RDU,11055
BOI,PDX,11043
TPA,HOU,11041
DEN,DSM,11041
SDF,CLT,11015
KOA,SFO,11015
CLT,TYS,10995
ALB,CLT,10990
MCO,SFO,10980
DEN,BZN,10977
BNA,MCO,10968
KOA,OGG,10955
CLE,EWR,10933
DFW,MEM,10930
TPA,BDL,10911
ORD,CID,10909
FLL,LAS,10907
ORD,BUF,10888
MSY,MIA,10886
MCO,MSY,10874
SEA,LGB,10857
BWI,ORD,10852
SAN,BOS,10820
IAD,SAN,10806
LGA,MKE,10785
BUF,ORD,10779
LGB,SEA,10778
GSP,CLT,10772
SFO,LGB,10771
PDX,ANC,10767
BWI,PBI,10764
SLC,BOI,10763
ORD,MKE,10759
LAS,SAT,10759
SEA,BUR,10747
ORD,HNL,10742
OMA,MDW,10735
ROC,ATL,10735
SAN,EWR,10715
SEA,FAI,10701
AUS,JFK,10676
HOU,TPA,10653
TYS,CLT,10650
OAK,DEN,10650
SAT,DEN,10639
ECP,ATL,10639
DFW,HOU,10624
ATL,ROC,10624
SFO,KOA,10606
BUR,SEA,10599
HOU,SAT,10598
CMH,PHX,10587
RDU,MCO,10573
VPS,ATL,10564
BWI,MIA,10560
IAD,TPA,10559
PVD,PHL,10552
PIT,PHX,10550
HNL,ORD,10549
ATL,ECP,10544
ISP,MCO,10524
MDW,SAN,10519
SLC,BWI,10514
MKE,LGA,10506
ATL,VPS,10505
CHA,ATL,10485
LBB,DAL,10483
ABQ,LAX,10478
ABQ,LAS,10474
BWI,ALB,10469
MSN,ORD,10464
MCO,SLC,10457
MSY,ORD,10442
LGA,RSW,10438
DCA,PHL,10437
LGB,OAK,10429
