city,lng,lat
"Casper","-106.10800000","43.51300000"
"Cedar City","-112.49900000","38.16800000"
"Cedar Rapids","-91.51900000","42.47400000"
"Central","-144.63500000","65.95600000"
"Chadron","-102.49300000","43.39500000"
"Chalkyitsik","-143.56700000","67.07500000"
"Champaign","-87.79700000","40.06500000"
"Charleston","-79.40100000","33.49700000"
"Charlotte","-80.90600000","35.35600000"
"Charlottesville VA","-78.08900000","38.23100000"
"Chattanooga","-84.67400000","35.05800000"
"Chefornak","-163.81000000","60.24800000"
"Chevak","-165.30700000","61.88900000"
"Cheyenne","-104.68700000","41.25900000"
"Chicago","-87.84200000","42.63100000"
"Chico","-121.76500000","40.32500000"
"Chignik Lagoon","-158.22400000","56.51800000"
"Chignik Lake","-158.62600000","56.42500000"
"Chuathbaluk","-158.69300000","61.96500000"
"Cincinnati","-84.44700000","39.08100000"
"Circle","-143.46100000","66.37900000"
"Clarksburg","-79.71400000","39.49400000"
"Cleveland","-81.75000000","41.68600000"
"Clovis","-102.46600000","34.70800000"
"Cody","-108.37400000","44.86600000"
"Coffman Cove","-132.72400000","56.02400000"
"Cold Bay","-162.54300000","55.34300000"
"College Station","-95.94000000","30.98000000"
"Colombia","-80.53300000","34.56400000"
"Colorado Springs","-104.50200000","39.34300000"
"Columbia","-91.70000000","39.36300000"
"Columbus","-82.82000000","40.66300000"
"Columbus Mississippi","-88.31900000","33.75000000"
"Cordova","-145.13000000","60.81900000"
"Corpus Christi","-97.16900000","28.28300000"
"Cortez","-108.38100000","37.50500000"
"Craig","-132.58000000","55.79800000"
"Crescent City","-123.72900000","42.30000000"
"Crooked Creek","-157.55900000","62.44600000"
"Dallas","-96.75300000","33.41100000"
"Dallas-fort Worth","-96.39700000","33.49400000"
"Dayton","-83.69900000","40.50300000"
"Daytona Beach","-80.43100000","29.29900000"
"Deadhorse","-148.10900000","70.32400000"
"Decatur","-88.77700000","40.39000000"
"Deering","-162.61000000","66.11600000"
"Del Rio","-100.87900000","29.62300000"
"Denver","-104.45600000","40.43600000"
"Des Moines","-93.43900000","41.88900000"
"Detroit","-82.92300000","42.35400000"
"Devils Lake","-98.84800000","48.19000000"
"Dickinson","-102.67000000","47.32900000"
"Dillingham","-158.17600000","59.07400000"
"Dodge City","-99.94300000","38.27200000"
"Dothan","-85.08300000","31.53500000"
"Du Bois","-78.83200000","41.29700000"
"Dubuque IA","-90.51600000","42.67000000"
"Duluth","-91.65700000","47.40300000"
"Durango","-107.59000000","37.25200000"
"Eagle","-140.58300000","65.29600000"
"Eastsound","-122.85100000","49.18000000"
"Eau Claire","-91.14100000","45.44300000"
"Eek","-161.40700000","60.35600000"
"Egegik","-156.96000000","58.30900000"
"Ekwok","-157.11900000","59.59400000"
"El Dorado","-92.68900000","33.36800000"
"El Paso","-105.96300000","32.34500000"
"Elfin Cove","-135.91300000","58.32500000"
"Elim","-161.78500000","65.02500000"
"Elko","-115.65400000","41.37400000"
"Elmira","-76.82000000","42.26600000"
"Ely","-114.73700000","39.49900000"
"Emmonak","-164.15200000","63.31000000"
"Erie","-79.62800000","42.13600000"
"Escanaba","-86.49000000","46.20400000"
"Eugene","-122.68700000","44.20700000"
"Evansville","-87.22100000","38.06100000"
"Excursion Inlet","-135.08200000","58.70000000"
"F","-104.35300000","40.75300000"
"Fairbanks","-147.76100000","65.35800000"
"False Pass","-163.01800000","55.41200000"
"Fargo","-96.69300000","47.53400000"
"Farmington","-107.71700000","37.23500000"
"Fayetteville","-78.80100000","35.65200000"
"Flagstaff","-111.44900000","35.23300000"
"Flint","-83.57300000","43.60900000"
"Florence","-79.54000000","34.30800000"
"Fort Dodge","-93.65400000","42.91800000"
"Fort Lauderdale","-79.58800000","26.12000000"
"Fort Leonardwood","-91.56800000","38.23600000"
"Fort Myers","-81.59200000","26.89300000"
"Fort Smith","-93.94600000","35.56000000"
"Fort Wayne","-84.65900000","41.63000000"
"Fort Yukon","-144.75100000","66.95200000"
"Franklin","-79.76800000","41.62900000"
"Fresno","-119.53100000","37.29300000"
"Friday Harbor","-122.35000000","48.89500000"
"Gainesville","-81.78700000","30.15000000"
"Galena","-156.89600000","65.22600000"
"Gambell","-171.55500000","64.27800000"
"Garden City","-100.54100000","38.54500000"
"Gillette","-105.23300000","44.58100000"
"Glendive","-104.67900000","47.23100000"
"Golovin","-162.34600000","64.91700000"
"Goodnews Bay","-161.29600000","59.19500000"
"Grand Canyon West","-113.14400000","35.98700000"
"Grand Forks","-96.62700000","48.58200000"
"Grand Island","-97.85000000","41.61200000"
"Grand Junction","-108.21200000","39.20400000"
