"PASSENGERS","ORIGIN","DEST",
0.00,"ATL","KIX",
0.00,"ATL","TPE",
0.00,"DFW","TPE",
0.00,"JFK","TPE",
0.00,"LAX","TPE",
0.00,"ORD","TPE",
0.00,"SEA","TPE",
0.00,"SFO","TPE",
0.00,"TPE","ATL",
0.00,"TPE","DFW",
0.00,"TPE","JFK",
0.00,"TPE","LAX",
0.00,"TPE","ORD",
0.00,"TPE","SEA",
0.00,"TPE","SFO",
0.00,"ATL","HKG",
0.00,"DFW","HKG",
0.00,"HKG","ATL",
0.00,"HKG","DFW",
0.00,"HKG","JFK",
0.00,"HKG","LAX",
0.00,"HKG","MIA",
0.00,"HKG","ORD",
0.00,"HKG","SFO",
0.00,"JFK","HKG",
0.00,"LAX","HKG",
0.00,"MIA","HKG",
0.00,"ORD","HKG",
0.00,"SFO","HKG",
0.00,"JFK","LGG",
0.00,"JFK","TLV",
0.00,"LGG","JFK",
0.00,"TLV","JFK",
0.00,"LAX","GDL",
0.00,"LAX","MEX",
0.00,"MEX","LAX",
0.00,"MEX","MIA",
0.00,"MIA","MEX",
0.00,"ATL","STN",
0.00,"FRA","ATL",
0.00,"FRA","HSV",
0.00,"FRA","ORD",
0.00,"IAH","STN",
0.00,"BOG","MIA",
0.00,"BOG","SJU",
0.00,"MDE","MIA",
0.00,"MIA","BAQ",
0.00,"MIA","BOG",
0.00,"MIA","CLO",
0.00,"MIA","MDE",
0.00,"IAH","ICN",
0.00,"LAX","PVG",
0.00,"PVG","LAX",
0.00,"BOG","LAX",
0.00,"BOG","MIA",
0.00,"BOG","SJU",
0.00,"LAX","BOG",
0.00,"MDE","MIA",
0.00,"MIA","BAQ",
0.00,"MIA","BOG",
0.00,"MIA","CLO",
0.00,"MIA","MDE",
0.00,"BFI","YVR",
0.00,"FSD","YYC",
0.00,"MSP","YWG",
0.00,"OMA","YYC",
0.00,"PDX","YVR",
0.00,"SDF","YHM",
0.00,"SDF","YMX",
0.00,"SDF","YWG",
0.00,"SDF","YYC",
0.00,"SDF","YYZ",
0.00,"YHM","SDF",
0.00,"YMX","SDF",
0.00,"YVR","BFI",
0.00,"YVR","SDF",
0.00,"YWG","MSP",
0.00,"YWG","OMA",
0.00,"YYC","FSD",
0.00,"YYC","SDF",
0.00,"YYZ","SDF",
0.00,"CDG","PHL",
0.00,"CDG","SDF",
0.00,"CGN","EWR",
0.00,"CGN","PHL",
0.00,"CGN","SDF",
0.00,"EMA","PHL",
0.00,"EMA","SDF",
0.00,"EWR","EMA",
0.00,"EWR","STN",
0.00,"PHL","CDG",
0.00,"PHL","CGN",
0.00,"PHL","EMA",
0.00,"SDF","CDG",
0.00,"SDF","CGN",
